This is the data set after cleaning noises. This was used for the corresponding data analyses.


Timestamp,Consent,Age,Gender,Location,Educational Level,Domain,AI Usage Frequency,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,T1,T2,T3,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Motive,Trust,Vigilance,Well-being
17-03-2026 22:13,I agree to participate,21,Woman,West Bengal,Undergraduate,Social Sciences,Occasionally,1.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,45.0,4.0,27.0,34.0
17-03-2026 22:14,I agree to participate,21,Man,West Bengal,Undergraduate,Business & Commerce,Sometimes,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,66.0,16.0,35.0,26.0
17-03-2026 22:18,I agree to participate,21,Woman,West Bengal,Undergraduate,Other,Always,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,7.0,1.0,7.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,88.0,15.0,54.0,56.0
17-03-2026 22:20,I agree to participate,19,Woman,West Bengal,Undergraduate,Humanities,Always,3.0,5.0,5.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,5.0,2.0,1.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,7.0,4.0,1.0,1.0,3.0,3.0,2.0,5.0,3.0,1.0,3.0,1.0,5.0,2.0,4.0,5.0,5.0,2.0,2.0,4.0,5.0,3.0,2.0,2.0,5.0,66.0,15.0,32.0,41.0
17-03-2026 22:23,I agree to participate,20,Woman,Delhi,Undergraduate,Natural Sciences,Often,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,5.0,3.0,4.0,1.0,1.0,4.0,1.0,55.0,12.0,31.0,34.0
17-03-2026 22:35,I agree to participate,20,Man,West Bengal,Undergraduate,Business & Commerce,Sometimes,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,29.0,8.0,17.0,22.0
17-03-2026 22:38,I agree to participate,21,Man,West Bengal,Undergraduate,Medical Sciences,Occasionally,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,3.0,16.0,12.0
17-03-2026 22:38,I agree to participate,19,Woman,West Bengal,Undergraduate,Social Sciences,Always,3.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,4.0,1.0,4.0,2.0,4.0,5.0,6.0,6.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,59.0,17.0,46.0,37.0
17-03-2026 22:40,I agree to participate,20,Woman,West Bengal,Undergraduate,Social Sciences,Often,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0,36.0,7.0,20.0,27.0
17-03-2026 22:47,I agree to participate,21,Man,West Bengal,Undergraduate,Engineering & Technology,Sometimes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,80.0,18.0,48.0,48.0
17-03-2026 22:48,I agree to participate,21,Man,West Bengal,Undergraduate,Engineering & Technology,Often,3.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,2.0,3.0,2.0,4.0,6.0,4.0,2.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,75.0,12.0,44.0,33.0
17-03-2026 22:50,I agree to participate,20,Woman,West Bengal,Undergraduate,Social Sciences,Occasionally,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,69.0,15.0,45.0,44.0
17-03-2026 22:57,I agree to participate,21,Man,West Bengal,Undergraduate,Business & Commerce,Often,5.0,3.0,2.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,1.0,5.0,4.0,2.0,1.0,76.0,13.0,23.0,39.0
17-03-2026 23:03,I agree to participate,20,Woman,West Bengal,Undergraduate,Social Sciences,Often,4.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,3.0,2.0,3.0,1.0,56.0,11.0,18.0,43.0
17-03-2026 23:04,I agree to participate,22,Man,Punjab,Postgraduate,Social Sciences,Sometimes,4.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,45.0,5.0,17.0,37.0
